Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,120,-2,-1.64%,4.68,25.64,46.8,59.9,73.01,86.11,99.22,112.3
24W52,122,+4.5,+3.83%,4.68,26.07,46.8,59.9,73.01,86.11,99.22,112.3
24W51,117.5,-3.5,-2.89%,4.67,25.17,46.68,59.76,72.83,85.9,98.97,112
24W50,121,+2.5,+2.11%,4.66,25.98,46.57,59.61,72.65,85.69,98.73,111.8
24W49,118.5,+3,+2.6%,4.65,25.51,46.45,59.46,72.47,85.48,98.48,111.5
24W48,115.5,-5.5,-4.55%,4.63,24.93,46.34,59.31,72.29,85.26,98.24,111.2
24W47,121,-2,-1.63%,4.62,26.18,46.22,59.17,72.11,85.05,97.99,110.9
24W46,123,-9,-6.82%,4.61,26.68,46.11,59.02,71.93,84.84,97.75,110.7
24W45,132,-13,-8.97%,4.6,28.7,45.99,58.87,71.75,84.63,97.5,110.4
24W44,145,-6,-3.97%,4.59,31.61,45.88,58.72,71.57,84.41,97.26,110.1
24W43,151,+2,+1.34%,4.58,33,45.76,58.57,71.39,84.2,97.01,109.8
24W42,149,+15.5,+11.6%,4.56,32.64,45.65,58.43,71.21,83.99,96.77,109.6
24W41,133.5,+5,+3.89%,4.55,29.32,45.53,58.28,71.03,83.78,96.53,109.3
24W40,128.5,-5.5,-4.1%,4.54,28.29,45.42,58.13,70.85,83.56,96.28,109
24W39,134,+3,+2.29%,4.53,29.58,45.3,57.98,70.67,83.35,96.04,108.7
24W38,131,+4,+3.15%,4.52,28.99,45.18,57.84,70.49,83.14,95.79,108.4
24W37,127,+9.5,+8.09%,4.51,28.18,45.07,57.69,70.31,82.93,95.55,108.2
24W36,117.5,-9.5,-7.48%,4.5,26.14,44.95,57.54,70.13,82.72,95.3,107.9
24W35,127,+6,+4.96%,4.48,28.32,44.84,57.39,69.95,82.5,95.06,107.6
24W34,121,+2,+1.68%,4.47,27.06,44.72,57.25,69.77,82.29,94.81,107.3
24W33,119,+5.5,+4.85%,4.46,26.68,44.61,57.1,69.59,82.08,94.57,107.1
24W32,113.5,-20.5,-15.3%,4.45,25.51,44.49,56.95,69.41,81.87,94.32,106.8
24W31,134,+2.5,+1.9%,4.44,30.2,44.38,56.8,69.23,81.65,94.08,106.5
24W30,131.5,-2.5,-1.87%,4.43,29.71,44.26,56.65,69.05,81.44,93.83,106.2
24W29,134,-7.5,-5.3%,4.41,30.35,44.15,56.51,68.87,81.23,93.59,106
24W28,141.5,-2,-1.39%,4.4,32.14,44.03,56.36,68.69,81.02,93.35,105.7
