Date,Price,PER
25W01,9.98,45.36
24W52,10.0,45.45
24W51,9.96,46.16
24W50,10.45,49.4
24W49,10.3,49.68
24W48,10.4,51.21
24W47,10.45,52.55
24W46,10.25,52.67
24W45,10.1,53.05
24W44,9.97,53.56
24W43,10.2,56.07
24W42,11.7,65.84
24W41,11.7,67.45
24W40,11.9,70.32
24W39,12.05,73.03
24W38,11.3,70.29
24W37,12.55,80.17
24W36,12.1,79.44
24W35,11.75,79.35
24W34,12.05,83.77
24W33,12.45,89.17
24W32,11.8,87.16
24W31,12.85,97.98
24W30,12.8,100.8
24W29,12.85,104.7
24W28,11.9,100.4
24W27,12.75,111.6
24W26,11.8,107.3
24W25,10.9,103
24W24,10.7,105.4
24W23,11.4,117.2
24W22,11.05,118.7
24W21,10.8,121.6
24W20,11.0,130
24W19,10.9,135.6
24W18,11.25,147.7
24W17,10.35,143.9
24W16,9.99,147.6
24W15,9.96,157
24W14,9.41,158.9
24W13,10.45,190
24W12,10.65,209.8
24W11,10.7,229.9
24W10,11.6,274.2
24W09,12.15,319.1
24W08,12.4,366.4
24W07,11.65,393.4
24W06,10.8,425.4
24W05,11.05,522.4
24W04,11.0,650
24W03,10.55,831.2
24W02,10.55,1247
24W01,11.05,2612
23W52,11.45,-
23W51,10.75,-
23W50,10.6,-
23W49,9.85,-
23W48,9.8,-
23W47,9.36,-
23W46,9.29,-
23W45,9.07,-
23W44,9.05,-
23W43,9.05,-
23W42,9.04,-
23W41,9.19,-
23W40,9.21,-
23W39,9.15,-
23W38,9.16,-
23W37,9.26,-
23W36,9.23,-
23W35,9.67,-
23W34,9.17,-
23W33,9.21,-
23W32,9.7,-
23W31,9.99,-
23W30,9.81,-
23W29,10.1,-
23W28,10.6,-
23W27,10.9,-
23W26,10.5,-
23W25,11.0,-
23W24,11.15,-
23W23,10.2,-
23W22,9.5,-
23W21,9.0,-
23W20,9.02,-
23W19,9.03,-
23W18,9.09,-
23W17,9.3,-
23W16,9.28,-
23W15,9.09,-
23W14,9.1,-
23W13,9.17,-
23W12,9.05,-
23W11,8.99,-
23W10,9.18,-
23W09,9.09,-
23W08,9.13,-
23W07,9.0,-
23W06,9.01,-
23W05,9.12,-
23W03,9.0,-
23W02,8.95,-
23W01,8.89,-
22W53,8.95,-
22W52,9.13,-
22W51,9.28,-
22W50,9.22,-
22W49,9.67,-
22W48,9.78,-
22W46,9.22,-
22W45,9.29,-
22W44,9.02,-
22W43,8.38,249.9
22W42,8.28,94.89
22W41,8.5,60.29
22W40,8.43,43.3
22W39,8.83,35.54
22W38,8.99,29.75
22W37,8.66,24.33
22W36,9.25,22.58
22W35,9.55,20.61
22W34,9.57,18.51
22W33,9.52,16.68
22W32,9.43,15.1
22W31,9.53,14.05
22W30,9.54,13.03
22W29,10.95,13.94
22W28,10.55,12.57
22W27,11.0,12.32
22W26,11.05,11.67
22W25,11.2,11.19
22W24,11.5,10.91
22W23,11.3,10.2
22W22,11.4,9.81
22W21,11.2,9.21
22W20,11.05,8.71
22W19,11.7,8.84
22W18,11.75,8.54
22W17,12.35,8.63
22W16,12.2,8.22
22W15,12.25,7.97
22W14,12.4,7.79
22W13,11.7,7.11
22W12,11.75,6.92
22W11,11.05,6.3
22W10,11.0,6.09
22W09,11.05,5.94
22W08,11.3,5.9
22W07,11.35,5.77
22W05,10.85,5.37
22W04,11.2,5.4
22W03,11.3,5.31
22W02,11.8,5.41
22W01,12.6,5.63
21W52,12.5,5.46
21W51,12.1,5.43
21W50,12.1,5.59
21W49,11.45,5.45
21W48,11.45,5.62
21W47,11.8,5.98
21W46,11.5,6.02
21W45,11.35,6.14
21W44,10.75,6.02
21W43,10.7,6.21
21W42,10.6,6.39
21W41,11.1,6.96
21W40,11.2,7.31
21W39,11.8,8.03
21W38,11.1,7.89
21W37,10.95,8.15
21W36,11.15,8.71
21W35,11.95,9.82
21W34,10.95,9.49
21W33,11.3,10.36
21W32,12.05,11.73
21W31,11.95,12.39
21W30,12.1,13.43
21W29,12.7,15.16
21W28,12.6,16.26
21W27,12.3,17.29
21W26,12.25,18.89
21W25,12.0,20.5
21W24,12.6,24.13
21W23,14.3,31.15
21W22,11.65,29.43
21W21,11.4,34.26
21W20,10.9,40.43
21W19,14.2,68.77
21W18,16.05,112
21W17,12.9,160.9
21W16,11.85,694.7
21W15,11.2,-
21W14,9.96,-
21W13,8.29,-
21W12,8.22,-
21W11,8.14,-
21W10,8.04,-
21W09,8.17,-
21W08,8.4,-
21W06,8.15,-
21W05,7.7,-
21W04,7.52,-
21W03,7.18,-
21W02,7.61,-
21W01,7.81,-
20W52,7.37,-
20W51,7.19,-
20W50,6.73,-
20W49,7.07,-
20W48,6.87,-
20W47,6.55,-
20W46,6.22,-
20W45,6.19,-
20W44,6.2,-
20W43,6.35,-
20W42,6.17,-
20W41,6.65,-
20W40,6.51,-
20W39,6.41,-
20W38,6.44,-
20W37,6.22,-
20W36,5.96,-
20W35,5.74,-
20W34,5.68,-
20W33,5.5,-
20W32,5.32,-
20W31,5.3,-
20W30,5.52,-
20W29,5.52,-
20W28,5.5,-
20W27,5.51,-
20W26,5.34,-
20W25,5.25,-
20W24,5.12,-
20W23,5.29,-
20W22,5.05,-
20W21,4.88,-
20W20,4.79,-
20W19,4.9,-
20W18,4.94,-
20W17,4.61,-
20W16,4.65,-
20W15,4.54,-
20W14,4.06,-
20W13,3.99,-
20W12,4.18,-
20W11,5.1,-
20W10,5.87,-
20W09,5.87,-
20W08,6.0,-
20W07,6.15,-
20W06,6.15,-
20W05,6.29,-
20W04,6.7,-
20W03,6.76,-
20W02,6.66,-
20W01,6.8,-
