Date,Price,Change,% Change,EPS,PER,8X,9.8X,11.6X,13.4X,15.2X,17X
25W01,22,-0.35,-1.57%,4,5.5,2,25.6,49.2,72.8,96.4,120
24W52,22.35,+0.55,+2.52%,4,5.59,2,25.6,49.2,72.8,96.4,120
24W51,21.8,-0.45,-2.02%,3.95,5.51,1.977,25.31,48.64,71.97,95.3,118.6
24W50,22.25,-2.5,-10.1%,3.91,5.69,1.954,25.01,48.07,71.13,94.19,117.3
24W49,24.75,+0.75,+3.12%,3.86,6.41,1.931,24.72,47.51,70.3,93.09,115.9
24W48,24,-0.4,-1.64%,3.82,6.29,1.908,24.43,46.95,69.47,91.99,114.5
24W47,24.4,-0.55,-2.2%,3.77,6.47,1.886,24.14,46.39,68.63,90.88,113.1
24W46,24.95,-0.25,-0.99%,3.73,6.7,1.863,23.84,45.82,67.8,89.78,111.8
24W45,25.2,-0.5,-1.95%,3.68,6.85,1.84,23.55,45.26,66.97,88.68,110.4
24W44,25.7,-2.1,-7.55%,3.63,7.07,1.817,23.26,44.7,66.14,87.58,109
24W43,27.8,+2.1,+8.17%,3.59,7.75,1.794,22.96,44.13,65.3,86.47,107.6
24W42,25.7,-0.5,-1.91%,3.54,7.26,1.771,22.67,43.57,64.47,85.37,106.3
24W41,26.2,-1,-3.68%,3.5,7.49,1.748,22.38,43.01,63.64,84.27,104.9
24W40,27.2,-1.2,-4.23%,3.45,7.88,1.725,22.08,42.44,62.8,83.16,103.5
24W39,28.4,-0.2,-0.7%,3.4,8.34,1.703,21.79,41.88,61.97,82.06,102.2
24W38,28.6,+0.4,+1.42%,3.36,8.51,1.68,21.5,41.32,61.14,80.96,100.8
24W37,28.2,-0.8,-2.76%,3.31,8.51,1.657,21.21,40.76,60.3,79.85,99.4
24W36,29,-1.55,-5.07%,3.27,8.87,1.634,20.91,40.19,59.47,78.75,98.03
24W35,30.55,-1.4,-4.38%,3.22,9.48,1.611,20.62,39.63,58.64,77.65,96.66
24W34,31.95,+1.3,+4.24%,3.18,10.06,1.588,20.33,39.07,57.81,76.55,95.28
24W33,30.65,+0.45,+1.49%,3.13,9.79,1.565,20.03,38.5,56.97,75.44,93.91
24W32,30.2,-0.45,-1.47%,3.08,9.79,1.542,19.74,37.94,56.14,74.34,92.54
